time_sec,delta_alpha,gamma43_power,alpha_power,beta_power,theta_power,mse_time
86.5,11.134131565700656,1.851049942939481e-05,0.0005832867467931431,0.00017533293652630529,0.0007276279709169659,0.237429365246639
90.5,5.3739806180897745,3.649880274487844e-05,0.00026949122847890535,0.00010734126777652968,0.00035385926610536695,0.22627516135059844
94.5,5.942014143043194,1.519129711976641e-05,0.0004480753054940638,0.00014189062228580384,0.0008968139025350753,0.1829881978416638
98.5,2.9634218380455137,2.2154305009208474e-05,0.0006278350437111427,0.00014689163650940458,0.0009022293406988108,0.15235610273242303
102.5,2.466063974430665,1.6555679591781097e-05,0.0005889726747584465,0.0001776897498254462,0.0007124220855512021,0.1741159837650748
106.5,9.93853866600002,1.9211543567216746e-05,0.0005585129003964036,0.00016515015470691783,0.0008122524906564881,0.1514806302829051
110.5,11.358561265039782,1.3706968793479015e-05,0.00026012465850896354,0.00011409002925161331,0.0007411276482282446,0.18465976809910975
114.5,2.770812901802141,2.089842392506404e-05,0.0005593382889028104,0.00027964128668136237,0.001229248202987733,0.16008889459134804
118.5,3.796674365560934,1.7508740591811505e-05,0.0005289278387121533,0.00018075282266415992,0.0013779593300689303,0.17170121051663084
122.5,4.801272581389108,2.553336564962546e-05,0.0003234432956863057,0.0001390369264584586,0.0010512499192216209,0.17779490038350682
126.5,3.812548077407512,1.6826197549308086e-05,0.0005079784574470612,0.00019928538818163568,0.002233030845612786,0.18631658618540814
130.5,6.145312818599532,1.7333842565369733e-05,0.00032606837693490646,0.0001388853579886714,0.0008973907180758546,0.12990563019073587
134.5,3.2473197240979896,1.8508937683434032e-05,0.0005080361183796135,0.00013541769379136492,0.0012075208980697955,0.13667922286534856
138.5,3.3298685334722067,2.048302999711848e-05,0.00037770589086891205,0.0002369882706339541,0.0011401201647489028,0.1397662483218007
142.5,1.2349325781359246,2.563192101805505e-05,0.0003226366177601494,0.00013386629759035533,0.0010976287021174675,0.132012190137042
146.5,7.23102056774171,2.074284142355007e-05,0.0003834622887566888,0.00019547699125432988,0.0007646892264020679,0.14678759063314342
150.5,2.2091965129843003,1.7419663010156414e-05,0.0005575893756210266,0.00014196320103827747,0.0006870365875169367,0.12890669305132518
154.5,5.20552661634094,1.9938834683926388e-05,0.0007581071995678835,0.00012938236665889448,0.0011419967805657118,0.14309640804269314
158.5,2.4958742208773144,2.5724891891243707e-05,0.0013039558688664955,0.0001835778023898363,0.001523546656752522,0.15816009326041863
162.5,7.00345451474788,1.7722471326383562e-05,0.0002690727541222312,0.0001663391665428807,0.0008829055501952267,0.1250371512326372
166.5,5.6165428160516075,2.2580112630217013e-05,0.0007524577029938809,0.00018640717744768361,0.00041114429917685143,0.1325982236378908
170.5,3.6667278356253608,1.8270480290873017e-05,0.0005158771142269255,0.0001657573445806183,0.0007183446902130184,0.13141441206514465
174.5,2.888761783878528,1.3926013428615782e-05,0.0007316673638511814,0.0002117999064728221,0.0006804838011037614,0.13556177629472246
178.5,2.0907724101441794,2.3645379468012458e-05,0.0005687817031962417,0.00015650289000228187,0.0010950826907722435,0.14215944902350325
182.5,2.303211721647494,9.465982023681005e-06,0.0008589919408897698,0.00015917921470809417,0.0005700754476756227,0.12074993252876498
186.5,2.122647081002363,1.7851981220145038e-05,0.0003639866254167702,0.0001791613861372667,0.0008595691786436408,0.12283520562547981
190.5,1.7264430500427825,2.340954085535494e-05,0.000290507830905143,0.00013948829562031396,0.001443096910312258,0.13434318319611235
