Delta_t_ms,Kernel
-9.2400,1.1128337858700462e+01
-9.2000,1.1249254885114732e+01
-9.1600,1.1371485757986799e+01
-9.1200,1.1495044753159915e+01
-9.0800,1.1619946301594153e+01
-9.0400,1.1746204991051874e+01
-9.0000,1.1873835567801484e+01
-8.9600,1.2002852938339714e+01
-8.9200,1.2133272171132607e+01
-8.8800,1.2265108498375431e+01
-8.8400,1.2398377317771713e+01
-8.8000,1.2533094194331579e+01
-8.7600,1.2669274862189688e+01
-8.7200,1.2806935226442851e+01
-8.6800,1.2946091365007689e+01
-8.6400,1.3086759530498396e+01
-8.6000,1.3228956152124985e+01
-8.5600,1.3372697837612103e+01
-8.5200,1.3518001375138724e+01
-8.4800,1.3664883735298902e+01
-8.4400,1.3813362073083841e+01
-8.4000,1.3963453729885494e+01
-8.3600,1.4115176235521941e+01
-8.3200,1.4268547310284763e+01
-8.2800,1.4423584867008660e+01
-8.2400,1.4580307013163576e+01
-8.2000,1.4738732052969546e+01
-8.1600,1.4898878489534500e+01
-8.1200,1.5060765027015348e+01
-8.0800,1.5224410572802487e+01
-8.0400,1.5389834239728078e+01
-8.0000,1.5557055348298350e+01
-7.9600,1.5726093428950056e+01
-7.9200,1.5896968224331555e+01
-7.8800,1.6069699691608626e+01
-7.8400,1.6244308004795350e+01
-7.8000,1.6420813557110307e+01
-7.7600,1.6599236963358397e+01
-7.7200,1.6779599062338516e+01
-7.6800,1.6961920919277400e+01
-7.6400,1.7146223828289955e+01
-7.6000,1.7332529314866225e+01
-7.5600,1.7520859138385486e+01
-7.5200,1.7711235294657602e+01
-7.4800,1.7903680018491997e+01
-7.4400,1.8098215786294560e+01
-7.4000,1.8294865318692754e+01
-7.3600,1.8493651583189227e+01
-7.3200,1.8694597796844349e+01
-7.2800,1.8897727428987739e+01
-7.2400,1.9103064203959399e+01
-7.2000,1.9310632103880558e+01
-7.1600,1.9520455371454663e+01
-7.1200,1.9732558512798757e+01
-7.0800,1.9946966300305654e+01
-7.0400,2.0163703775537222e+01
-7.0000,2.0382796252149074e+01
-6.9600,2.0604269318847070e+01
-6.9200,2.0828148842375906e+01
-6.8800,2.1054460970540212e+01
-6.8400,2.1283232135258455e+01
-6.8000,2.1514489055650028e+01
-6.7600,2.1748258741155905e+01
-6.7200,2.1984568494693153e+01
-6.6800,2.2223445915843762e+01
-6.6400,2.2464918904078136e+01
-6.6000,2.2709015662013563e+01
-6.5600,2.2955764698708105e+01
-6.5200,2.3205194832990315e+01
-6.4800,2.3457335196825085e+01
-6.4400,2.3712215238716091e+01
-6.4000,2.3969864727145218e+01
-6.3600,2.4230313754049330e+01
-6.3200,2.4493592738334819e+01
-6.2800,2.4759732429430386e+01
-6.2400,2.5028763910878347e+01
-6.2000,2.5300718603965066e+01
-6.1600,2.5575628271390716e+01
-6.1200,2.5853525020979021e+01
-6.0800,2.6134441309427213e+01
-6.0400,2.6418409946096840e+01
-6.0000,2.6705464096845649e+01
-5.9600,2.6995637287901218e+01
-5.9200,2.7288963409776567e+01
-5.8800,2.7585476721228385e+01
-5.8400,2.7885211853258294e+01
-5.8000,2.8188203813157479e+01
-5.7600,2.8494487988595374e+01
-5.7200,2.8804100151752724e+01
-5.6800,2.9117076463499554e+01
-5.6400,2.9433453477618574e+01
-5.6000,2.9753268145074404e+01
-5.5600,3.0076557818329249e+01
-5.5200,3.0403360255705451e+01
-5.4800,3.0733713625795442e+01
-5.4400,3.1067656511919576e+01
-5.4000,3.1405227916632473e+01
-5.3600,3.1746467266278270e+01
-5.3200,3.2091414415595352e+01
-5.2800,3.2440109652371255e+01
-5.2400,3.2792593702147911e+01
-5.2000,3.3148907732978216e+01
-5.1600,3.3509093360234218e+01
-5.1200,3.3873192651467519e+01
-5.0800,3.4241248131322571e+01
-5.0400,3.4613302786503240e+01
-5.0000,3.4989400070793401e+01
-4.9600,3.5369583910132150e+01
-4.9200,3.5753898707744042e+01
-4.8800,3.6142389349325107e+01
-4.8400,3.6535101208285283e+01
-4.8000,3.6932080151047742e+01
-4.7600,3.7333372542405776e+01
-4.7200,3.7739025250938028e+01
-4.6800,3.8149085654482370e+01
-4.6400,3.8563601645669394e+01
-4.6000,3.8982621637515969e+01
-4.5600,3.9406194569079652e+01
-4.5200,3.9834369911174420e+01
-4.4800,4.0267197672148583e+01
-4.4400,4.0704728403725454e+01
-4.4000,4.1147013206907516e+01
-4.3600,4.1594103737944735e+01
-4.3200,4.2046052214367649e+01
-4.2800,4.2502911421086054e+01
-4.2400,4.2964734716554076e+01
-4.2000,4.3431576039002067e+01
-4.1600,4.3903489912736170e+01
-4.1200,4.4380531454506638e+01
-4.0800,4.4862756379944912e+01
-4.0400,4.5350221010071131e+01
-4.0000,4.5842982277871791e+01
-3.9600,4.6341097734949571e+01
-3.9200,4.6844625558244594e+01
-3.8800,4.7353624556829494e+01
-3.8400,4.7868154178777722e+01
-3.8000,4.8388274518106982e+01
-3.7600,4.8914046321797514e+01
-3.7200,4.9445530996887399e+01
-3.6800,4.9982790617644106e+01
-3.6400,5.0525887932814818e+01
-3.6000,5.1074886372954722e+01
-3.5600,5.1629850057835625e+01
-3.5200,5.2190843803934683e+01
-3.4800,5.2757933132004389e+01
-3.4400,5.3331184274725366e+01
-3.4000,5.3910664184441544e+01
-3.3600,5.4496440540980245e+01
-3.3200,5.5088581759556313e+01
-3.2800,5.5687156998763072e+01
-3.2400,5.6292236168649183e+01
-3.2000,5.6903889938884191e+01
-3.1600,5.7522189747011872e+01
-3.1200,5.8147207806794128e+01
-3.0800,5.8779017116644717e+01
-3.0400,5.9417691468155510e+01
-3.0000,6.0063305454714374e+01
-2.9600,6.0715934480217783e+01
-2.9200,6.1375654767877030e+01
-2.8800,6.2042543369121098e+01
-2.8400,6.2716678172595593e+01
-2.8000,6.3398137913259525e+01
-2.7600,6.4087002181581511e+01
-2.7200,6.4783351432834948e+01
-2.6800,6.5487266996495237e+01
-2.6400,6.6198831085738107e+01
-2.6000,6.6918126807042086e+01
-2.5600,6.7645238169894341e+01
-2.5200,6.8380250096603064e+01
-2.4800,6.9123248432215291e+01
-2.4400,6.9874319954543665e+01
-2.4000,7.0633552384301055e+01
-2.3600,7.1401034395346315e+01
-2.3200,7.2176855625040375e+01
